Time: 1/27/2022 5:04:55 PM, User: Client, File: dfsdfs, DeniedAccessType: Create
Time: 1/27/2022 5:05:02 PM, User: Client, File: byhhy, DeniedAccessType: Create
Time: 1/27/2022 5:05:12 PM, User: Client, File: dfsdfs, DeniedAccessType: Create
Time: 1/27/2022 5:05:16 PM, User: Client, File: dfsdfs, DeniedAccessType: Create
Time: 1/27/2022 5:15:28 PM, User: Client, File: aaa, DeniedAccessType: Create
Time: 1/27/2022 5:15:33 PM, User: Client, File: aaa, DeniedAccessType: Create
Time: 1/27/2022 5:15:36 PM, User: Client, File: aaa, DeniedAccessType: Create
Time: 1/27/2022 5:15:40 PM, User: Client, File: aaa, DeniedAccessType: Create
Time: 1/27/2022 5:15:44 PM, User: Client, File: aaa, DeniedAccessType: Create
Time: 1/27/2022 5:15:47 PM, User: Client, File: aaa, DeniedAccessType: Create
Time: 1/27/2022 5:16:44 PM, User: Client, File: aaa, DeniedAccessType: Create
Time: 1/27/2022 5:16:48 PM, User: Client, File: aaa, DeniedAccessType: Create
Time: 1/27/2022 5:29:35 PM, User: Client, File: tt, DeniedAccessType: Create
Time: 1/27/2022 5:29:38 PM, User: Client, File: tt, DeniedAccessType: Create
Time: 1/27/2022 5:31:03 PM, User: Client, File: tt, DeniedAccessType: Create
Time: 1/27/2022 5:31:07 PM, User: Client, File: tt, DeniedAccessType: Create
Time: 1/27/2022 5:31:09 PM, User: Client, File: tt, DeniedAccessType: Create
Time: 1/27/2022 5:34:38 PM, User: Client, File: yy, DeniedAccessType: Create
Time: 1/27/2022 5:34:41 PM, User: Client, File: yy, DeniedAccessType: Create
Time: 1/27/2022 5:34:43 PM, User: Client, File: yy, DeniedAccessType: Create
Time: 1/27/2022 5:37:08 PM, User: Client, File: ff, DeniedAccessType: Create
Time: 1/27/2022 5:37:10 PM, User: Client, File: ff, DeniedAccessType: Create
Time: 1/27/2022 5:37:11 PM, User: Client, File: ff, DeniedAccessType: Create
Time: 1/27/2022 5:37:13 PM, User: Client, File: ff, DeniedAccessType: Create
Time: 1/27/2022 10:45:32 PM, User: Client, File: ggg, DeniedAccessType: Create
Time: 1/27/2022 10:45:36 PM, User: Client, File: ggg, DeniedAccessType: Create
Time: 1/27/2022 10:45:38 PM, User: Client, File: ggg, DeniedAccessType: Create
Time: 1/27/2022 10:45:40 PM, User: Client, File: ggg, DeniedAccessType: Create
Time: 1/27/2022 10:45:42 PM, User: Client, File: ggg, DeniedAccessType: Create
Time: 1/27/2022 10:46:29 PM, User: Client, File: ggg, DeniedAccessType: Create
Time: 1/27/2022 10:52:03 PM, User: Client, File: uuu, DeniedAccessType: Create
Time: 1/27/2022 10:53:30 PM, User: Client, File: hhh, DeniedAccessType: Create
Time: 1/27/2022 11:13:41 PM, User: Client, File: ccc, DeniedAccessType: Create
Time: 1/27/2022 11:13:50 PM, User: Client, File: ccc, DeniedAccessType: Create
Time: 1/27/2022 11:13:54 PM, User: Client, File: ccc, DeniedAccessType: Create
Time: 1/27/2022 11:13:55 PM, User: Client, File: ccc, DeniedAccessType: Create
Time: 1/27/2022 11:13:57 PM, User: Client, File: ccc, DeniedAccessType: Create
Time: 1/27/2022 11:17:19 PM, User: Client, File: kkk, DeniedAccessType: Create
Time: 1/27/2022 11:19:37 PM, User: Client, File: kkk, DeniedAccessType: Create
Time: 1/27/2022 11:21:15 PM, User: Client, File: kkk, DeniedAccessType: Create
Time: 1/27/2022 11:21:19 PM, User: Client, File: kkk, DeniedAccessType: Create
Time: 1/27/2022 11:21:21 PM, User: Client, File: kkk, DeniedAccessType: Create
Time: 1/27/2022 11:21:23 PM, User: Client, File: kkk, DeniedAccessType: Create
Time: 1/27/2022 11:21:25 PM, User: Client, File: kkk, DeniedAccessType: Create
Time: 1/27/2022 11:21:26 PM, User: Client, File: kkk, DeniedAccessType: Create
Time: 1/27/2022 11:27:51 PM, User: Client, File: ooo, DeniedAccessType: Create
Time: 1/27/2022 11:27:56 PM, User: Client, File: ooo, DeniedAccessType: Create
Time: 1/27/2022 11:27:59 PM, User: Client, File: ooo, DeniedAccessType: Create
Time: 1/27/2022 11:28:02 PM, User: Client, File: ooo, DeniedAccessType: Create
Time: 1/27/2022 11:28:04 PM, User: Client, File: ooo, DeniedAccessType: Create
Time: 1/27/2022 11:31:22 PM, User: Client, File: ttt, DeniedAccessType: Create
Time: 1/27/2022 11:31:28 PM, User: Client, File: ttt, DeniedAccessType: Create
Time: 1/28/2022 1:11:23 AM, User: Client, File: ttt, DeniedAccessType: Create
Time: 1/28/2022 1:11:27 AM, User: Client, File: ttt, DeniedAccessType: Create
Time: 1/28/2022 1:11:29 AM, User: Client, File: ttt, DeniedAccessType: Create
Time: 1/28/2022 1:11:30 AM, User: Client, File: ttt, DeniedAccessType: Create
Time: 1/28/2022 1:11:32 AM, User: Client, File: ttt, DeniedAccessType: Create
Time: 1/28/2022 1:13:53 AM, User: Client, File: yyy, DeniedAccessType: Create
Time: 1/28/2022 1:13:55 AM, User: Client, File: yyy, DeniedAccessType: Create
Time: 1/28/2022 1:13:57 AM, User: Client, File: yyy, DeniedAccessType: Create
Time: 1/28/2022 1:13:59 AM, User: Client, File: yyy, DeniedAccessType: Create
Time: 1/28/2022 1:14:02 AM, User: Client, File: yyy, DeniedAccessType: Create
Time: 1/28/2022 1:18:17 AM, User: Client, File: yyy, DeniedAccessType: Create
Time: 1/28/2022 1:21:26 AM, User: Client, File: yyy, DeniedAccessType: Create
Time: 1/28/2022 1:24:01 AM, User: Client, File: yyy, DeniedAccessType: Create
Time: 1/28/2022 1:37:15 AM, User: Client, File: yyy, DeniedAccessType: Create
Time: 1/28/2022 1:37:19 AM, User: Client, File: yyy, DeniedAccessType: Create
Time: 1/28/2022 1:37:21 AM, User: Client, File: yyy, DeniedAccessType: Create
Time: 1/28/2022 1:37:23 AM, User: Client, File: yyy, DeniedAccessType: Create
Time: 1/28/2022 1:37:25 AM, User: Client, File: yyy, DeniedAccessType: Create
Time: 1/28/2022 1:41:40 AM, User: Client, File: hhh, DeniedAccessType: Create
Time: 1/28/2022 1:41:44 AM, User: Client, File: hhh, DeniedAccessType: Create
Time: 1/28/2022 1:41:46 AM, User: Client, File: hhh, DeniedAccessType: Create
Time: 1/28/2022 1:41:48 AM, User: Client, File: hhh, DeniedAccessType: Create
Time: 1/28/2022 1:41:50 AM, User: Client, File: hhh, DeniedAccessType: Create
Time: 1/28/2022 1:49:20 AM, User: Client, File: ggg, DeniedAccessType: Create
Time: 1/28/2022 1:50:28 AM, User: Client, File: ggg, DeniedAccessType: Create
Time: 1/28/2022 1:53:40 AM, User: Client, File: ggg, DeniedAccessType: Create
Time: 1/28/2022 2:08:34 AM, User: Client, File: nnn, DeniedAccessType: Create
Time: 1/28/2022 2:08:53 AM, User: Client, File: ttt, DeniedAccessType: Create
Time: 1/28/2022 2:08:55 AM, User: Client, File: ttt, DeniedAccessType: Create
Time: 1/28/2022 2:08:57 AM, User: Client, File: ttt, DeniedAccessType: Create
Time: 1/28/2022 2:08:58 AM, User: Client, File: ttt, DeniedAccessType: Create
Time: 1/28/2022 2:09:00 AM, User: Client, File: ttt, DeniedAccessType: Create
Time: 1/28/2022 2:20:41 AM, User: Client, File: zzz, DeniedAccessType: Create
Time: 1/28/2022 2:22:04 AM, User: Client, File: h, DeniedAccessType: Create
Time: 1/28/2022 2:22:12 AM, User: Client, File: h, DeniedAccessType: Create
Time: 1/28/2022 2:22:13 AM, User: Client, File: h, DeniedAccessType: Create
Time: 1/28/2022 2:22:14 AM, User: Client, File: h, DeniedAccessType: Create
Time: 1/28/2022 2:22:15 AM, User: Client, File: h, DeniedAccessType: Create
Time: 1/28/2022 2:36:08 AM, User: Client, File: l, DeniedAccessType: Create
Time: 1/28/2022 2:36:12 AM, User: Client, File: l, DeniedAccessType: Create
Time: 1/28/2022 2:36:15 AM, User: Client, File: l, DeniedAccessType: Create
Time: 1/28/2022 2:36:16 AM, User: Client, File: l, DeniedAccessType: Create
Time: 1/28/2022 2:36:18 AM, User: Client, File: l, DeniedAccessType: Create
Time: 1/28/2022 2:49:01 AM, User: Client, File: g, DeniedAccessType: Create
Time: 1/28/2022 2:50:32 AM, User: Client, File: j, DeniedAccessType: Create
Time: 1/28/2022 2:50:35 AM, User: Client, File: j, DeniedAccessType: Create
Time: 1/28/2022 2:50:37 AM, User: Client, File: j, DeniedAccessType: Create
Time: 2/14/2022 2:58:32 AM, User: Ana, File: , DeniedAccessType: Read
Time: 2/14/2022 2:58:51 AM, User: Ana, File: , DeniedAccessType: Read
Time: 2/14/2022 2:59:24 AM, User: Ana, File: , DeniedAccessType: Read
Time: 2/14/2022 3:03:22 AM, User: Ana, File: , DeniedAccessType: Read
Time: 2/14/2022 3:06:44 AM, User: Ana, File: , DeniedAccessType: Read
